Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,b8:ec:a3:2f:bd:67,5,Z_347_283_2,17371_14172_2,9,0,2,5,-70.95,10.92,-83.41,-50.23,30,0,0,20,-77.81,6.67,-88.00,-66.99
1551848400,b8:ec:a3:2f:bd:67,5785,Z_347_283_2,17371_14172_2,1,0,0,1,-72.04,0.00,-72.04,-72.04,3,0,0,1,-81.71,8.47,-88.00,-69.73
1551848400,b8:ec:a3:2f:bd:6b,2.4,Z_347_283_2,17380_14170_2,10,0,3,5,-72.61,9.79,-88.00,-55.78,10,1,0,1,-78.40,12.87,-89.00,-40.90
1551848400,b8:ec:a3:2f:bd:6b,2412,Z_347_283_2,17380_14170_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:6b,5,Z_347_283_2,17380_14170_2,24,0,5,4,-77.75,11.66,-88.99,-54.00,37,1,0,6,-82.97,7.11,-88.00,-45.00
1551848400,b8:ec:a3:2f:bd:6b,5745,Z_347_283_2,17380_14170_2,6,0,1,1,-78.33,11.61,-88.99,-54.00,18,0,0,1,-85.27,3.05,-88.00,-79.00
1551848400,b8:ec:a3:2f:bd:6f,2.4,Z_347_283_2,17374_14167_2,8,0,0,4,-73.77,9.93,-90.00,-63.00,8,0,1,4,-76.51,9.23,-87.00,-56.00
1551848400,b8:ec:a3:2f:bd:6f,2437,Z_347_283_2,17374_14167_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:6f,5,Z_347_283_2,17374_14167_2,26,1,2,4,-77.34,13.56,-87.00,-29.00,26,0,0,13,-79.19,6.74,-88.99,-67.99
1551848400,b8:ec:a3:2f:bd:6f,5745,Z_347_283_2,17374_14167_2,5,0,1,1,-74.00,13.30,-85.00,-50.00,7,0,0,4,-81.28,5.36,-88.99,-76.00
1551848400,b8:ec:a3:2f:bd:73,2.4,Z_347_283_2,17357_14164_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:73,2437,Z_347_283_2,17357_14164_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:73,5,Z_347_283_2,17357_14164_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:73,5200,Z_347_283_2,17357_14164_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:77,2.4,Z_347_283_2,17355_14157_2,13,1,1,6,-74.08,11.35,-84.00,-45.44,8,0,1,2,-80.97,8.62,-91.00,-61.38
1551848400,b8:ec:a3:2f:bd:77,2437,Z_347_283_2,17355_14157_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:77,5,Z_347_283_2,17355_14157_2,18,1,1,3,-80.88,11.19,-89.00,-46.00,19,0,0,4,-81.26,5.86,-87.00,-70.00
1551848400,b8:ec:a3:2f:bd:77,5765,Z_347_283_2,17355_14157_2,4,0,0,0,-86.24,2.39,-88.99,-82.99,1,0,0,0,-85.99,0.00,-85.99,-85.99
1551848400,b8:ec:a3:2f:bd:7b,2.4,Z_347_283_2,17366_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:7b,2412,Z_347_283_2,17366_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:7b,5,Z_347_283_2,17366_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:7b,5220,Z_347_283_2,17366_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:7f,2.4,Z_347_283_2,17359_14158_2,9,0,3,4,-68.15,10.69,-83.00,-51.20,3,0,1,0,-72.00,12.73,-81.00,-54.00
1551848400,b8:ec:a3:2f:bd:7f,2462,Z_347_283_2,17359_14158_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:7f,5,Z_347_283_2,17359_14158_2,14,1,1,5,-76.78,12.79,-89.00,-43.00,13,0,4,4,-74.84,11.66,-88.00,-58.00
1551848400,b8:ec:a3:2f:bd:7f,5785,Z_347_283_2,17359_14158_2,3,0,0,0,-86.33,1.70,-87.99,-84.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:83,2.4,Z_347_283_2,17361_14160_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:83,2412,Z_347_283_2,17361_14160_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:83,5,Z_347_283_2,17361_14160_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:83,5745,Z_347_283_2,17361_14160_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:9b,2.4,Z_347_283_3,17364_14169_3,8,0,1,4,-73.05,8.59,-84.99,-60.28,15,0,2,7,-75.29,8.14,-84.00,-57.00
1551848400,04:bf:6d:5e:11:9b,2437,Z_347_283_3,17364_14169_3,7,0,1,3,-74.32,8.45,-84.99,-60.28,9,0,2,3,-75.67,9.21,-84.00,-57.00
1551848400,04:bf:6d:5e:11:9b,5,Z_347_283_3,17364_14169_3,12,0,1,4,-78.41,10.20,-87.00,-50.00,51,0,1,20,-80.06,5.76,-88.00,-56.00
1551848400,04:bf:6d:5e:11:9b,5240,Z_347_283_3,17364_14169_3,1,0,0,0,-86.00,0.00,-86.00,-86.00,2,0,0,1,-76.00,10.00,-86.00,-65.99
1551848400,04:bf:6d:5e:12:67,2.4,Z_347_283_3,17371_14165_3,12,0,1,11,-70.55,5.71,-79.00,-61.00,10,0,0,10,-70.59,4.93,-79.00,-63.47
